ref_id,source_type,source_num,RA,DEC,W1mag,W2mag,W3mag,W4mag,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag,Hmag,Kmag,W12,W23,W34,bp_rp_mag,JHmag,HKmag,RJ,KW1
614,RSG,0,252.2046875,-54.53045222,3.086,2.499,3.006,2.842,7.292986,8.739199,6.107646,4.417,3.388,3.139,0.587,-0.507,0.164,2.631553,1.029,0.249,1.690646,0.053
615,RSG,0,254.6191417,-30.91940861,10.191,10.326,7.411,7.119,13.136883,13.812831,12.331267,11.185,10.535,10.365,-0.135,2.915,0.292,1.481564,0.65,0.17,1.146267,0.174
616,RSG,0,254.6549208,-55.99029389,1.343,0.67,-0.815,-0.683,2.510786,3.714221,2.101607,0.409,-0.452,-0.633,0.673,1.485,-0.132,1.612614,0.861,0.181,1.692607,-1.976
617,RSG,0,254.7398292,-44.40133806,2.826,2.2,2.602,2.062,7.911613,9.662611,6.655049,4.585,3.5,3.119,0.626,-0.402,0.54,3.007562,1.085,0.381,2.070049,0.293
618,RSG,0,254.7497125,-45.15194306,3.624,3.249,3.681,3.545,8.538505,10.076153,7.350013,5.538,4.365,4.086,0.375,-0.432,0.136,2.72614,1.173,0.279,1.812013,0.462
619,RSG,0,255.1348333,-45.45176361,2.375,1.73,1.856,1.838,5.768646,6.89254,4.718247,3.153,2.296,2.045,0.645,-0.126,0.018,2.174293,0.857,0.251,1.565247,-0.33
620,RSG,0,255.2319875,-56.48010833,2.294,1.739,2.123,1.983,6.691454,8.475204,5.408522,3.216,2.3,1.978,0.555,-0.384,0.14,3.066682,0.916,0.322,2.192522,-0.316
622,RSG,0,257.5949292,-41.59927806,3.46,3.073,3.335,2.873,8.649301,10.413302,7.401796,5.166,4.156,3.779,0.387,-0.262,0.462,3.011506,1.01,0.377,2.235796,0.319
623,RSG,0,257.8209042,-32.32520972,1.275,0.865,-2.446,-4.158,6.031431,8.635425,4.623138,1.884,1.008,0.415,0.41,3.311,1.712,4.012287,0.876,0.593,2.739138,-0.86
625,RSG,0,258.8257625,-39.64863139,1.273,1.532,-0.474,-1.072,6.896576,8.97191,5.586063,2.71,1.772,1.313,-0.259,2.006,0.598,3.385847,0.938,0.459,2.876063,0.04
626,RSG,0,260.3025,-38.78265778,3.127,2.601,3.066,2.731,8.06972,9.706098,6.852478,4.667,3.494,3.13,0.526,-0.465,0.335,2.85362,1.173,0.364,2.185478,0.003
627,RSG,0,260.4988917,-37.52105389,3.051,2.143,3.03,2.827,7.941048,9.541316,6.732807,4.455,3.356,3.038,0.908,-0.887,0.203,2.808509,1.099,0.318,2.277807,-0.013
629,RSG,0,262.904725,-31.87269556,3.478,3.297,3.584,3.416,7.768416,8.979741,6.689165,5.075,3.901,3.721,0.181,-0.287,0.168,2.290576,1.174,0.18,1.614165,0.243
630,RSG,0,263.1576417,-33.79616972,3.539,2.684,3.301,3.144,7.174488,8.307843,6.124629,4.403,3.451,3.258,0.855,-0.617,0.157,2.183214,0.952,0.193,1.721629,-0.281
631,RSG,0,263.7102208,-34.27682306,2.934,1.212,-1.203,-1.969,7.45789,10.114293,6.031968,3.358,2.204,1.727,1.722,2.415,0.766,4.082325,1.154,0.477,2.673968,-1.207
634,RSG,0,264.3845125,-34.64629889,3.451,2.847,3.355,3.246,7.452218,8.734054,6.336338,4.592,3.553,3.355,0.604,-0.508,0.109,2.397716,1.039,0.198,1.744338,-0.096
635,RSG,0,265.2439375,-32.21448833,1.882,0.283,-0.402,-1.623,5.330418,6.267901,4.359366,2.971,2.179,1.829,1.599,0.685,1.221,1.908535,0.792,0.35,1.388366,-0.053
636,RSG,0,265.517475,-36.17130167,4.189,3.783,4.159,4.023,7.884301,8.965348,6.8585,5.358,4.676,4.305,0.406,-0.376,0.136,2.106848,0.682,0.371,1.5005,0.116
637,RSG,0,265.8583208,-35.29767083,0.8,1.732,1.491,1.3,5.84151,7.18292,4.709109,2.802,1.822,1.581,-0.932,0.241,0.191,2.473811,0.98,0.241,1.907109,0.781
638,RSG,0,266.5640333,-28.828255,3.027,0.64,-2.407,-3.848,15.358271,16.545753,14.283163,12.387,10.547,9.212,2.387,3.047,1.441,2.26259,1.84,1.335,1.896163,6.185
640,RSG,0,266.6058125,-26.20031583,3.435,2.688,3.372,3.324,7.616221,8.802691,6.540517,4.845,3.965,3.78,0.747,-0.684,0.048,2.262174,0.88,0.185,1.695517,0.345
641,RSG,0,267.9776,-29.93174194,3.569,3.21,3.557,3.378,8.301859,9.874519,7.094914,5.311,4.139,3.876,0.359,-0.347,0.179,2.779605,1.172,0.263,1.783914,0.307
642,RSG,0,268.3335667,-24.57087667,2.804,2.386,2.659,1.307,9.025098,11.398541,7.656289,4.966,3.627,3.165,0.418,-0.273,1.352,3.742252,1.339,0.462,2.690289,0.361
643,RSG,0,268.4934833,-3.27441472,3.147,2.181,2.45,2.227,8.50609,11.399447,7.039093,4.751,3.383,2.996,0.966,-0.269,0.223,4.360354,1.368,0.387,2.288093,-0.151
644,RSG,0,269.2810792,-23.93925528,3.439,1.32,1.123,0.872,5.521332,6.84554,4.389876,2.68,1.74,1.46,2.119,0.197,0.251,2.455664,0.94,0.28,1.709876,-1.979
645,RSG,0,269.3115167,-24.14314694,2.965,2.575,3.005,2.855,8.362222,10.095921,7.118445,4.863,3.638,3.212,0.39,-0.43,0.15,2.977476,1.225,0.426,2.255445,0.247
646,RSG,0,269.967875,-23.51594028,2.142,1.208,0.607,-0.238,7.544057,9.910316,6.146507,3.559,2.32,1.822,0.934,0.601,0.845,3.763809,1.239,0.498,2.587507,-0.32
647,RSG,0,270.2670208,-22.29366222,3.219,2.927,3.05,2.431,8.890879,11.000505,7.551965,5.089,3.886,3.57,0.292,-0.123,0.619,3.44854,1.203,0.316,2.462965,0.351
648,RSG,0,270.7262417,-27.82667528,2.804,2.138,2.342,2.234,5.974216,6.966181,4.981837,3.725,2.821,2.639,0.666,-0.204,0.108,1.984344,0.904,0.182,1.256837,-0.165
649,RSG,0,271.0382583,-34.05311611,3.726,3.494,3.675,3.58,6.530197,7.274553,5.691515,4.246,3.568,3.412,0.232,-0.181,0.095,1.583038,0.678,0.156,1.445515,-0.314
650,RSG,0,271.4766792,-24.24951139,3.053,2.351,2.892,2.713,8.341308,10.068113,7.093197,5.019,3.718,3.283,0.702,-0.541,0.179,2.974916,1.301,0.435,2.074197,0.23
651,RSG,0,271.8847667,-19.29399917,2.553,2.233,1.983,1.431,8.013617,9.90131,6.733662,4.477,3.271,2.855,0.32,0.25,0.552,3.167648,1.206,0.416,2.256662,0.302
652,RSG,0,272.1104667,-18.55220889,2.425,1.877,-0.504,-1.796,6.330271,7.543976,5.27166,3.791,3.098,2.798,0.548,2.381,1.292,2.272316,0.693,0.3,1.48066,0.373
653,RSG,0,272.1897583,-19.86381111,8.8,8.912,7.771,5.113,15.364738,17.856913,13.958211,10.937,9.609,9.091,-0.112,1.141,2.658,3.898702,1.328,0.518,3.021211,0.291
655,RSG,0,273.3427167,-17.90434722,3.638,2.793,2.417,1.15,10.688122,14.344825,9.081718,5.464,4.234,3.79,0.845,0.376,1.267,5.263107,1.23,0.444,3.617718,0.152
656,RSG,0,273.4301083,-19.24203778,4.38,3.59,3.413,3.134,8.036737,9.609621,6.829348,4.796,3.897,3.668,0.79,0.177,0.279,2.780273,0.899,0.229,2.033348,-0.712
657,RSG,0,273.4547458,-18.77591806,4.489,3.862,3.148,1.902,15.907843,21.312098,14.124058,8.383,6.108,5.022,0.627,0.714,1.246,7.18804,2.275,1.086,5.741058,0.533
658,RSG,0,274.3693583,-12.72402944,3.39,2.902,3.498,3.181,7.009045,8.004703,6.032477,4.928,3.868,3.682,0.488,-0.596,0.317,1.972226,1.06,0.186,1.104477,0.292
659,RSG,0,274.4233333,-13.94116167,4.271,3.913,4.074,3.653,14.923485,21.011011,13.086937,7.785,5.708,4.722,0.358,-0.161,0.421,7.924074,2.077,0.986,5.301937,0.451
660,RSG,0,275.2277625,-13.39493361,4.016,3.386,3.071,2.191,15.948123,20.78053,14.12108,8.231,6.02,4.917,0.63,0.315,0.88,6.65945,2.211,1.103,5.89008,0.901
661,RSG,0,275.5422292,-22.23885222,3.422,2.779,3.474,3.437,6.713709,7.560298,5.816774,4.573,3.594,3.523,0.643,-0.695,0.037,1.743524,0.979,0.071,1.243774,0.101
662,RSG,0,275.8246042,-13.71310333,2.066,0.758,-2.37,-4.164,8.391713,13.197741,6.699269,2.845,1.403,0.713,1.308,3.128,1.794,6.498472,1.442,0.69,3.854269,-1.353
663,RSG,0,276.1234875,-10.41475611,4.729,4.498,4.745,4.685,7.818395,8.621442,6.937623,5.671,5.083,4.823,0.231,-0.247,0.06,1.683819,0.588,0.26,1.266623,0.094
664,RSG,0,276.615525,-9.58857556,4.22,3.575,3.86,3.372,11.045211,14.562386,9.563149,6.196,4.915,4.352,0.645,-0.285,0.488,4.999237,1.281,0.563,3.367149,0.132
665,RSG,0,276.9022,-12.46637222,0.705,2.709,-2.143,-3.492,6.74725,9.468487,5.293727,2.342,1.239,0.728,-2.004,4.852,1.349,4.17476,1.103,0.511,2.951727,0.023
667,RSG,0,278.4074542,-29.17650444,4.693,4.549,4.747,4.649,8.324611,9.349957,7.331092,5.868,5.097,4.833,0.144,-0.198,0.098,2.018865,0.771,0.264,1.463092,0.14
668,RSG,0,278.4728458,-24.03231361,2.964,2.713,1.256,1.083,4.74014,5.750977,3.756972,2.132,1.28,1.065,0.251,1.457,0.173,1.994005,0.852,0.215,1.624972,-1.899
670,RSG,0,278.8794875,-8.6899275,2.924,2.467,2.953,3,7.455717,8.866369,6.307759,4.051,3.06,2.766,0.457,-0.486,-0.047,2.55861,0.991,0.294,2.256759,-0.158
671,RSG,0,279.0902542,-8.87775056,2.586,1.987,2.559,2.411,8.251669,10.62974,6.868372,3.92,2.732,2.292,0.599,-0.572,0.148,3.761368,1.188,0.44,2.948372,-0.294
672,RSG,0,279.1070042,-8.14295,5.415,5.375,5.39,5.04,9.462349,10.630456,8.407915,6.7,5.942,5.65,0.04,-0.015,0.35,2.222541,0.758,0.292,1.707915,0.235
673,RSG,0,280.114325,-5.93832111,6.651,6.852,6.463,4.784,12.619019,15.029063,11.240273,8.584,7.437,6.947,-0.201,0.389,1.679,3.78879,1.147,0.49,2.656273,0.296
674,RSG,0,280.4225875,-5.52716611,6.544,6.723,6.816,6.591,11.877752,13.718738,10.617583,8.234,7.227,6.807,-0.179,-0.093,0.225,3.101155,1.007,0.42,2.383583,0.263
675,RSG,0,280.5719667,-5.81539917,4.557,4.372,4.432,3.934,10.756359,13.776419,9.325391,6.407,5.285,4.76,0.185,-0.06,0.498,4.451028,1.122,0.525,2.918391,0.203
676,RSG,0,280.7071375,-4.21840833,6.187,6.324,6.332,5.343,11.164242,12.785486,9.961716,7.89,6.852,6.535,-0.137,-0.008,0.989,2.82377,1.038,0.317,2.071716,0.348
677,RSG,0,280.7400375,-4.21134639,5.483,5.583,5.951,4.546,10.163206,11.577751,9.024599,7.034,6.205,5.869,-0.1,-0.368,1.405,2.553152,0.829,0.336,1.990599,0.386
678,RSG,0,280.7769875,-4.175745,6.403,6.481,6.451,6.02,11.154936,12.642567,9.98483,7.887,7.01,6.644,-0.078,0.03,0.431,2.657737,0.877,0.366,2.09783,0.241
679,RSG,0,281.0496417,11.04763111,6.554,6.723,6.594,6.422,10.002099,10.937771,9.056559,7.675,6.886,6.65,-0.169,0.129,0.172,1.881212,0.789,0.236,1.381559,0.096
680,RSG,0,281.0802458,-2.54999556,2.818,2.334,2.701,2.275,8.542523,10.934415,7.15301,4.661,3.383,3.038,0.484,-0.367,0.426,3.781405,1.278,0.345,2.49201,0.22
681,RSG,0,281.1176417,-3.21553083,5.806,5.796,5.957,6.261,11.259505,13.319506,9.950707,7.497,6.376,5.94,0.01,-0.161,-0.304,3.368799,1.121,0.436,2.453707,0.134
682,RSG,0,281.44325,7.22007194,5.693,5.617,5.506,5.19,9.233417,10.020486,8.335278,6.835,6.069,5.755,0.076,0.111,0.316,1.685208,0.766,0.314,1.500278,0.062
683,RSG,0,282.4206542,-5.91291444,2.157,1.946,2.123,2.048,5.375897,6.243634,4.463352,3.131,2.358,2.077,0.211,-0.177,0.075,1.780282,0.773,0.281,1.332352,-0.08
684,RSG,0,282.8825125,10.31383111,5.317,5.286,5.355,5.329,8.512969,9.345604,7.621191,6.33,5.651,5.447,0.031,-0.069,0.026,1.724413,0.679,0.204,1.291191,0.13
685,RSG,0,283.0069,11.92394583,7.476,7.602,7.517,7.092,10.466107,11.236741,9.615825,8.447,7.81,7.619,-0.126,0.085,0.425,1.620916,0.637,0.191,1.168825,0.143
686,RSG,0,283.5003917,-21.3599275,2.761,2.042,2.761,2.727,5.294924,5.935942,4.534193,3.748,3.151,2.993,0.719,-0.719,0.034,1.401749,0.597,0.158,0.786193,0.232
687,RSG,0,284.8634958,5.377835,2.361,1.588,1.266,0.544,7.931377,10.515675,6.533196,3.547,2.288,1.827,0.773,0.322,0.722,3.982479,1.259,0.461,2.986196,-0.534
688,RSG,0,286.3337333,8.82142639,6.227,6.335,6.176,5.667,12.523282,15.529351,11.069346,8.159,6.976,6.412,-0.108,0.159,0.509,4.460005,1.183,0.564,2.910346,0.185
